fato;filhosJuntos;tempoJuntos;diaSemana;periodo;idade;possuiProfissao;escolaridade;tipoLocal;qtdRegAnt
INJURIA ;S;204;Sexta-feira;TARDE;37;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;S;7;Segunda-feira;MANHA;26;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;48;Segunda-feira;TARDE;26;S;FUNDAMENTAL;VIA URBANA;Mais_que_3_registros
INJURIA ;N;12;Quinta-feira;NOITE;40;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;48;Quarta-feira;NOITE;29;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , INJURIA ;S;42;Quinta-feira;MANHA;25;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;432;Quinta-feira;NOITE;40;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
VIAS DE FATO ;N;84;Domingo;MADRUGADA;40;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;4;Quarta-feira;NOITE;48;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;5;Quarta-feira;TARDE;16;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;48;Quarta-feira;MANHA;28;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;60;Terça-feira;MANHA;28;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;S;120;Terça-feira;NOITE;28;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;12;Sexta-feira;NOITE;15;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;N;2;Terça-feira;TARDE;21;S;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
AMEACA ;N;48;Terça-feira;TARDE;51;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;24;Terça-feira;TARDE;30;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;N;12;Segunda-feira;MANHA;19;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;144;Quarta-feira;NOITE;29;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;N;24;Quarta-feira;NOITE;39;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;N;36;Segunda-feira;NOITE;47;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;288;Segunda-feira;NOITE;45;S;MEDIO;VIA URBANA;Entre_1_e_3_registros
VIAS DE FATO ;N;24;Sábado;NOITE;30;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
INJURIA ;S;84;Segunda-feira;TARDE;23;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
DIFAMACAO , INJURIA ;S;300;Segunda-feira;MANHA;43;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;120;Segunda-feira;TARDE;36;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;240;Quinta-feira;TARDE;50;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;N;12;Segunda-feira;MANHA;31;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA ;S;48;Segunda-feira;MANHA;30;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , DIFAMACAO ;N;10;Segunda-feira;MANHA;32;N;SUPERIOR;RESIDENCIA;Mais_que_3_registros
AMEACA ;N;84;Segunda-feira;MANHA;36;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;192;Domingo;MANHA;40;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;372;Domingo;NOITE;53;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
VIAS DE FATO ;N;6;Segunda-feira;MADRUGADA;28;S;MEDIO;VIA URBANA;Entre_1_e_3_registros
VIAS DE FATO ;N;12;Segunda-feira;MADRUGADA;24;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;N;12;Domingo;NOITE;40;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;48;Domingo;NOITE;23;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , VIAS DE FATO ;S;216;Domingo;NOITE;36;N;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;132;Domingo;NOITE;27;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;48;Sábado;NOITE;19;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , DIFAMACAO , INJURIA , VIAS DE FATO ;N;12;Domingo;MADRUGADA;34;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;216;Sábado;TARDE;43;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;30;Domingo;TARDE;44;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;S;240;Domingo;TARDE;38;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA , LESOES CORPORAIS RECIPROCAS ;S;192;Domingo;TARDE;37;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA , VIAS DE FATO ;S;84;Sábado;NOITE;23;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;S;132;Domingo;MADRUGADA;26;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;S;24;Domingo;MADRUGADA;22;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESOES CORPORAIS RECIPROCAS ;N;24;Domingo;MADRUGADA;43;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESOES CORPORAIS RECIPROCAS ;S;252;Domingo;MADRUGADA;45;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;60;Sábado;NOITE;24;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;7;Sábado;NOITE;31;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
